bucket,priority,approval_type,template_subject,target_count,status,next_action,published_link_or_evidence
approval_needed,1,Website clinic/dental resource page,Clinic & Dental Lead Leakage Review India resource page + resources hub card,1 public website resource page + 1 resources hub card,"Approval-ready/gated — no website publish, public post, customer contact, call, spend, contract, credential change, or destructive action performed","Send founder review card for APPROVE CLINIC DENTAL LEAKAGE PAGE / CHANGES / REJECT. If approved, create /clinic-dental-lead-leakage-review, add resources hub card, run contact/old-number/mobile/link/metadata QA, then publish through normal deployment path.","Pack: reports/brand-presence-polish/2026-05-20/clinic-dental-leakage-proof-page-approval-pack-1400.md; HTML source: reports/brand-presence-polish/2026-05-20/clinic-dental-leakage-page.html; SOP contacts verified live 2026-05-20 14:15 IST: WhatsApp +91 87963 02608, voice line +91 80654 80898, primary email contact@aicloudstrategist.com"
internal_ready_or_queued,2,Healthcare website staging,Healthcare Digital Readiness Audit landing page + FAQ noindex preview,1 noindex preview page,Queued — secondary founder review card ready; clean noindex preview HTML and execution checklist prepared; hold until About-page decision or explicit reprioritisation,"After About-page decision, send clean staging approval card; if APPROVE, create noindex preview from clean HTML using execution checklist, capture desktop/mobile evidence, and return for separate public-publish approval",Clean noindex preview source: reports/website-drafts/aics-healthcare-digital-readiness-audit-clean-noindex-preview-2026-05-19-1900.html; manifest: reports/posting-onboarding-readiness/aics-healthcare-clean-noindex-preview-manifest-2026-05-19-1900.md; execution checklist: reports/posting-onboarding-readiness/aics-healthcare-noindex-staging-execution-checklist-2026-05-19-1915.md
needs_review,2,Aesthetic clinic WhatsApp visual + caption,Free aesthetic clinic enquiry-flow review — WhatsApp visual card + caption,2 phone/WhatsApp-only prospects: Cosmetic Mantra; Skin Care & Laser Centre,Prepared / refined 2026-05-20 11:45 IST — exact filled captions ready; no prospect contact performed,"Send the founder-ready card plus PNG to Raj personal approval route for APPROVE / CHANGES / REJECT; only after explicit approval, send exact PNG + filled captions to the two approved WhatsApp/phone routes.",Pack: /home/OpenClaw/.openclaw/workspace/reports/approval-packs/aesthetic-clinic-whatsapp-leakage-20260520-1130; Creative: /home/OpenClaw/.openclaw/workspace/reports/approval-packs/aesthetic-clinic-whatsapp-leakage-20260520-1130/aesthetic-clinic-whatsapp-review-card.png; Manifest: /home/OpenClaw/.openclaw/workspace/reports/approval-packs/aesthetic-clinic-whatsapp-leakage-20260520-1130/post-approval-whatsapp-manifest.csv; Founder-ready exact approval card: reports/approval-packs/aesthetic-clinic-whatsapp-leakage-20260520-1130/raj-founder-review-card-approval-ready.md
needs_review,2,Dental implant/aligner mini-offer asset,Dental High-Value Enquiry Flow Check landing block + proposal snippet,0 recipients; reusable proposal/landing-page asset paired with 2 prepared dental email-ready prospects after Raj approval,Offer asset prepared; no customer contact; no public posting; no send performed,"If approval-routing is available, send the rendered dental approval wrapper to Raj personal email for APPROVE DENTAL EMAILS / CHANGES / REJECT; after explicit approval, send only via aics_mail_send_guard.py from contact@aicloudstrategist.com.",Asset: reports/proposal-assets/aics-dental-lead-capture-mini-offer-2026-05-20-1000.md; related approval pack: reports/approval-packs/dental-lead-capture-outreach-20260520-0945/
needs_review,2,Dental noindex landing-page preview source,Dental High-Value Enquiry Flow Check noindex preview + FAQ/CTA landing section,0 external recipients; 1 internal preview package for future Raj staging/public-use approval,"Prepared 2026-05-20 10:45 IST; no staging, public posting, customer contact, or external system change performed","If dental landing page is prioritized, request Raj approval to stage as noindex preview only; after approval, capture desktop/mobile QA evidence and return for separate public-publish approval.",Preview source: reports/website-drafts/dental-noindex-preview-20260520-1045/index.html; QA checklist: reports/website-drafts/dental-noindex-preview-20260520-1045/qa-and-approval-checklist.md; manifest: reports/website-drafts/dental-noindex-preview-20260520-1045/manifest.json
needs_review,2,Dental positive-reply formatted WhatsApp template,Dental Enquiry Flow Check — next step for {{BusinessName}},0 recipients now; reusable only after positive dental reply and exact recipient/message approval,"Prepared 2026-05-20 12:00 IST; no customer contact, public posting, call, contract, or external send performed","After a dental prospect replies positively, fill exact clinic details and send exact WhatsApp customer experience to Raj for APPROVE / CHANGES / REJECT; no external WhatsApp send until approved.",Pack: reports/approval-packs/dental-post-reply-whatsapp-template-20260520-1200/; formatted message: formatted-whatsapp-post-reply-dental.txt; approval card: approval-card.md; readiness: reports/posting-onboarding-readiness/aics-dental-post-reply-whatsapp-readiness-2026-05-20-1200.md
needs_review,2,Dental positive-reply premium email template,Next step: Dental Enquiry Flow Check for {{BusinessName}},0 recipients now; reusable only after positive dental reply and exact recipient/channel approval,"Prepared 2026-05-20 11:15 IST; no customer contact, public posting, call, contract, or external send performed","After a dental prospect replies positively, fill exact clinic details, send rendered premium HTML to Raj personal approval first, then use aics_mail_send_guard.py from contact@ only after explicit approval.",Pack: reports/approval-packs/dental-post-reply-premium-template-20260520-1115/; HTML: premium-post-reply-dental-email.html; approval card: approval-card.md
needs_review,2,Dental post-reply discovery/proposal packet,Dental High-Value Enquiry Flow Check positive-reply next step + starter proposal structure,0 external recipients; reusable only after a positive dental reply and separate Raj approval of exact filled-in copy/channel,"Prepared 2026-05-20 11:00 IST; no prospect contact, public posting, call, contract, or external send performed","After a positive dental reply exists, convert to premium HTML email or formatted WhatsApp asset, send rendered/exact item to Raj personal approval first, then use guarded contact@ send or exact approved WhatsApp route only after approval.",Proposal packet: reports/proposal-assets/aics-dental-post-reply-discovery-proposal-packet-2026-05-20-1100.md; readiness note: reports/posting-onboarding-readiness/aics-dental-post-reply-onboarding-readiness-2026-05-20-1100.md
needs_review,2,Diagnostics/pathology mini-offer asset,Diagnostic Lab Digital Readiness Check landing block + proposal snippet,0 recipients; reusable asset for future verified diagnostics/pathology list,Offer asset prepared; no customer contact; pairs with diagnostics email templates once recipients are verified,"After verified targets exist, map Template 1/2 and send rendered production approval email to Raj personal email before customer outreach",Asset: reports/proposal-assets/aics-diagnostics-pathology-mini-offer-2026-05-19-2030.md
internal_ready_or_queued,2,Healthcare WhatsApp outreach,Healthcare Digital Readiness Review,Not approved for customer send,Not published / not sent,Wait until WhatsApp approval route is fixed and send production template first,No customer WhatsApp sent
needs_review,2,LinkedIn brand post,AICS cloud review social asset,LinkedIn company page,Blocked,Fix LinkedIn brand access,AICS company page unavailable / no admin brand session
needs_review,2,X post,AICS cloud review social asset,AICS X account,Blocked,Login/connect X account,X compose redirects to login
monitor_only,3,Dental template/category approval — DENTAL-A,Dental implant/orthodontic enquiry leakage premium HTML template,2 verified dental prospects executed at 2026-05-20 15:43 IST: Smilex Dental Implant & Aligner Centers; Dr Kadu's Orthodontic & Dental Clinic,Executed for 2 recipients via guarded contact@ sends; follow-up blocked until 48-hour monitoring window matures or exact Raj-approved follow-up exists,"Monitor replies only until 2026-05-22 15:43 IST. If no reply after window, prepare premium HTML follow-up and send rendered approval to Raj before any external follow-up.","Master map: reports/template-category-approvals/template-category-master-map.json; send report: reports/template-category-approvals/2026-05-20-dental-template-a/send-report.md; guarded evidence: reports/outbound-mail/guarded-send-20260520-154343.json, guarded-send-20260520-154356.json, guarded-send-20260520-154358.json"
monitor_only,3,Diagnostics alternate 3-contact premium email outreach,Diagnostics 3: lab enquiry/report request leakage workflow check,"3 selected diagnostics/pathology targets; 2 sent now, 1 not resent to avoid duplicate",Executed for 2 recipients via guarded contact@ sends; duplicate avoided for The Diagnostic Clinical Laboratory; no further customer action pending except reply monitoring/correction approval.,Monitor replies only. Keep The Diagnostic Clinical Laboratory correction email pending Raj approval; prepare any future premium HTML follow-up only after 48h and Raj approval.,Approval/send report: reports/approval-packs/diagnostics-alt-set-20260520-1425/send-report.md; CRM queue: reports/crm-ops/aics-diagnostics-post-send-crm-follow-up-20260520-1445.csv; evidence: reports/outbound-mail/guarded-send-20260520-143523.json and reports/outbound-mail/guarded-send-20260520-143532.json
monitor_only,3,Diagnostics template/category approval — DIAG-LAB-A,Diagnostics Flow Review — lab enquiry/report request leakage premium HTML template,2 verified diagnostics/pathology prospects executed at 2026-05-20 19:47 IST: V-Care Path Lab; G1 Pathology Lab,Executed for 2 recipients via guarded contact@ sends; follow-up blocked until 48-hour monitoring window matures or exact Raj-approved follow-up exists,"Monitor replies only until 2026-05-22 19:47 IST. If no reply after window, prepare premium HTML follow-up with live current contacts and send rendered approval to Raj before any external follow-up.",Master map: reports/template-category-approvals/template-category-master-map.json; send report: reports/template-category-approvals/2026-05-20-diagnostics-template-a/diag-lab-a-approved-send-report-20260520-1947.md; CRM monitor: reports/crm-ops/aics-diagnostics-diag-lab-a-post-send-crm-follow-up-20260520-2030.csv
monitor_only,3,Email outreach,Free 20-minute Business Flow Check for {{BusinessName}},2 recipients,Sent - sender mistake recorded,Monitor replies only; all future outreach via contact@aicloudstrategist.com with production approval email first,"Sent individually to NKPC Kidney Clinic and Park Clinic Kolkata, but incorrectly from support@. Hard rule fixed: future customer/prospect outreach only from contact@ using guarded sender."
executed_or_closed,4,Diagnostics lab premium email outreach,"Template 1: Quick check: are any lab enquiries or report requests slipping between WhatsApp, calls and website?",1 recipient: The Diagnostic Clinical Laboratory <diagnostic.official@gmail.com>,Sent - content mistake recorded,Do not send more outreach until SOP gate passes; prepare correction only if Raj approves exact correction email,"Sent to The Diagnostic Clinical Laboratory from contact@, but email contained old WhatsApp number and Rajiv personal name. SOP/guard fixed; no correction sent without Raj approval. Send report: reports/approval-packs/diagnostics-premium-email-20260519/customer-send-report-20260519-2153.json"
executed_or_closed,4,Facebook post,AICS cloud review social asset,1 Facebook Page,Published,Track engagement,https://www.facebook.com/permalink.php?story_fbid=pfbid02FCSxpiDcJ9qNSrNC8FZ3useyGimNqbGPJvVdwAUG5rVzaxFm1zXCms8Y6XYrzUxDl&id=61589792966579
executed_or_closed,4,Instagram post,AICS cloud review social asset,1 Instagram account,Published,Track engagement,https://www.instagram.com/aicloudstrategist/p/DYgvCO1ifoz/
executed_or_closed,4,Social post,Healthcare enquiry leakage — free Digital Readiness Review,"2 approved channels executed: Facebook Page + Instagram feed; no boost/ad spend, DMs, WhatsApp Status, LinkedIn or X",Published after Raj approval — Meta evidence captured 2026-05-20 12:43-12:45 IST,"Track comments/DMs/engagement only; capture public permalinks when available; do not boost, DM, repost, or expand channels without separate Raj approval.","Creative/manifest: reports/social-approval/2026-05-20/AICS-SOC-20260520-HEALTHCARE-LEAKAGE-ATTRACTIVE-v5-manifest.json; posting evidence: reports/social-publishing/healthcare_20260520_published_list.txt, reports/social-publishing/healthcare_20260520_published_list.png, reports/social-publishing/healthcare_20260520_ig_public.txt, reports/social-publishing/healthcare_20260520_ig_public.png"
