business_name,city,metro,vertical,owner_name,source_platforms,source_url,practo_profile_url,justdial_url,phone,website_url,linkedin_url,tier,fit_score,reason_for_fit,risk_notes,recommended_channel
Dr sonal's All Smiles Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Sonal Malguria Bhasin,Practo,https://www.practo.com/Mumbai/clinic/all-smiles-dental-clinic-iso-9001-2008-certified-santacruz-west,https://www.practo.com/mumbai/doctor/dr-sonal-bhasin-dentist?practice_id=705974&specialization=Dentist&referrer=doctor_listing&page_uid=67b19b80-8a2d-4ebd-9f32-45d95ca35cde,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Mount Mary Dental Speciality Clinic,Mumbai,Mumbai,Dental clinic,Dr. Dattatraya Kamat,Practo,https://www.practo.com/Mumbai/clinic/dr-kamat-s-mount-mary-dental-speciality-clinic-bandra-west,https://www.practo.com/mumbai/doctor/dattatraya-kamat-dentist?practice_id=888784&specialization=Dentist&referrer=doctor_listing&page_uid=33f5d864-8bc6-43c6-a211-349baecd99bf,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr Sankpals Dental Center,Mumbai,Mumbai,Dental clinic,Dr. Rajendra Sankpal,Practo,https://www.practo.com/Mumbai/clinic/dr-sankpal-s-dental-center-powai,https://www.practo.com/mumbai/doctor/dr-rajendra-sankpal-dentist?practice_id=765547&specialization=Dentist&referrer=doctor_listing&page_uid=da5ff6cd-6ae2-4ca2-be2a-d7b075a54c49,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
32 Smiles Stones Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Jeevan Shetty,Practo,https://www.practo.com/Mumbai/clinic/dr-jeevan-shetty-s-32-smile-stones-powai,https://www.practo.com/mumbai/doctor/dr-jeevan-shetty-dentist-5?practice_id=649045&specialization=Dentist&referrer=doctor_listing&page_uid=da5ff6cd-6ae2-4ca2-be2a-d7b075a54c49,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Nishant's Dental Surgeons Planet,Mumbai,Mumbai,Dental clinic,Dr. Nishant Gandhi,Practo,https://www.practo.com/Mumbai/clinic/dr-nishant-s-dental-planet-powai,https://www.practo.com/mumbai/doctor/dr-nishant-gandhi-dentist-3?practice_id=704620&specialization=Dentist&referrer=doctor_listing&page_uid=703d9652-5a6b-44ba-85af-893f7aa87951,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr Soham's Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Soham Mallick,Practo,https://www.practo.com/Mumbai/clinic/dr-soham-s-dental-clinic-powai,https://www.practo.com/mumbai/doctor/dr-soham-maillick-dentist?practice_id=1308018&specialization=Dentist&referrer=doctor_listing&page_uid=703d9652-5a6b-44ba-85af-893f7aa87951,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Bhaskar Dental Clinic - Dr Pratik Mantal Nayak,Mumbai,Mumbai,Dental clinic,Dr. Pratik Nayak,Practo,https://www.practo.com/Mumbai/clinic/dr-pratik-mantal-nayak-ghatkopar-west,https://www.practo.com/mumbai/doctor/pratik-nayak-1?practice_id=1268562&specialization=Dentist&referrer=doctor_listing&page_uid=f1e1c33b-e58f-47bf-8aff-0e3d8eb92598,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Deven's Dentocare,Mumbai,Mumbai,Dental clinic,Dr. Deven Dabholkar,Practo,https://www.practo.com/Mumbai/clinic/dr-deven-s-dentocare-borivali-west,https://www.practo.com/mumbai/doctor/dr-deven-dabholkar-dentist?practice_id=723630&specialization=Dentist&referrer=doctor_listing&page_uid=5f1347c6-5518-4aba-b9b4-1db3193b195f,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr Falguni Shah's Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Falguni Shah,Practo,https://www.practo.com/Mumbai/clinic/dr-falguni-shah-s-dental-clinic-borivali-west,https://www.practo.com/mumbai/doctor/dr-falguni-shah-dentist?practice_id=649491&specialization=Dentist&referrer=doctor_listing&page_uid=c1411a3a-c735-4dd9-a67d-1f1199fa215e,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Ritu Mehta's Family Dental Centre,Mumbai,Mumbai,Dental clinic,Dr. Ritu Mehta,Practo,https://www.practo.com/Mumbai/clinic/dr-ritu-mehta-s-family-dental-centre-borivali-west,https://www.practo.com/mumbai/doctor/ritu-mehta-dentist?practice_id=1356379&specialization=Dentist&referrer=doctor_listing&page_uid=c1411a3a-c735-4dd9-a67d-1f1199fa215e,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Speciality Dental Centre & Dental Implants,Mumbai,Mumbai,Dental clinic,Dr. Amruta Bhalchandra Wadekar,Practo,https://www.practo.com/Mumbai/clinic/dr-amruta-s-dental-clinic-dahisar,https://www.practo.com/mumbai/doctor/dr-amruta-wadekar-dentist-dentist?practice_id=649014&specialization=Dentist&referrer=doctor_listing&page_uid=c1411a3a-c735-4dd9-a67d-1f1199fa215e,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
SmilesForever By Dr Suhas Lele,Mumbai,Mumbai,Dental clinic,Dr. Suhas Lele,Practo,https://www.practo.com/Mumbai/clinic/smiles-forever-dr-suhas-lele-andheri-west,https://www.practo.com/mumbai/doctor/dr-suhas-lele-dentist-2?practice_id=648623&specialization=Dentist&referrer=doctor_listing&page_uid=ef578a57-2881-408d-8c18-1781e6984367,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Sakarwala's Dental Speciality Centre,Mumbai,Mumbai,Dental clinic,Dr. Sakarwala Mustafa,Practo,https://www.practo.com/Mumbai/clinic/dr-sakarwala-s-dental-speciality-mazgaon,https://www.practo.com/mumbai/doctor/dr-sakarwala-mustafa-dentist?practice_id=679325&specialization=Dentist&referrer=doctor_listing&page_uid=be49acee-6bc0-466d-888e-cc3fc0bacc2d,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
White Arc Dental Studio,Mumbai,Mumbai,Dental clinic,Dr. Aniket Gandhi,Practo,https://www.practo.com/Mumbai/clinic/dr-gandhi-s-white-arc-dental-studio-kings-circle,https://www.practo.com/mumbai/doctor/dr-aniket-gandhi-dentist?practice_id=1158246&specialization=Dentist&referrer=doctor_listing&page_uid=102a7781-4f23-47ee-a4f1-81174a58db4e,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Parekh's Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Bandish Parekh,Practo,https://www.practo.com/Mumbai/clinic/dr-parekh-s-dental-clinic-matunga,https://www.practo.com/mumbai/doctor/dr-bandish-parekh-dentist?practice_id=1257970&specialization=Dentist&referrer=doctor_listing&page_uid=5cdae7e7-02ef-4efd-b405-8a808a9261b9,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Ashar`s Dental Care Centre,Mumbai,Mumbai,Dental clinic,Dr. Nipaj S Ashar,Practo,https://www.practo.com/Mumbai/clinic/dr-ashar-s-dental-care-centre-matunga,https://www.practo.com/mumbai/doctor/dr-nipaj-s-ashar-dentist-1?practice_id=648706&specialization=Dentist&referrer=doctor_listing&page_uid=5cdae7e7-02ef-4efd-b405-8a808a9261b9,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr.Riddhi's Dental Studio,Mumbai,Mumbai,Dental clinic,Dr. Riddhi Mehta,Practo,https://www.practo.com/Mumbai/clinic/dr-riddhi-s-dental-studio-malad-west,https://www.practo.com/mumbai/doctor/dr-riddhi-mehta?practice_id=1109504&specialization=Dentist&referrer=doctor_listing&page_uid=a2cd1fe8-a073-4c0b-aa07-9dda7b4b6e77,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Nariman'S Multispeciality Dental Center,Mumbai,Mumbai,Dental clinic,Dr. Rushad Nariman,Practo,https://www.practo.com/Mumbai/clinic/dr-narimans-multispeciality-dental-center-malad-west,https://www.practo.com/mumbai/doctor/dr-rushad-nariman-1-dentist?practice_id=1242517&specialization=Dentist&referrer=doctor_listing&page_uid=a2cd1fe8-a073-4c0b-aa07-9dda7b4b6e77,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr Jigna Kanavia's Dental Clinic,Mumbai,Mumbai,Dental clinic,Dr. Jigna Kanavia,Practo,https://www.practo.com/Mumbai/clinic/dr-jigna-kanavia-s-dental-clinic-malad-west,https://www.practo.com/mumbai/doctor/jigna-kanavia-dentist?practice_id=1258158&specialization=Dentist&referrer=doctor_listing&page_uid=a2cd1fe8-a073-4c0b-aa07-9dda7b4b6e77,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
Dr. Ritika's Dental Studio,Mumbai,Mumbai,Dental clinic,Dr. Ritika Goyal,Practo,https://www.practo.com/Mumbai/clinic/dr-ritika-s-dental-studio-malad-west,https://www.practo.com/mumbai/doctor/ritika-goyal-dentist?practice_id=1415129&specialization=Dentist&referrer=doctor_listing&page_uid=937506d3-3e45-4081-9963-9d30ae84b2a3,,,,,A,86,"Owner/lead dentist is publicly named on Practo and clinic/Practo slug is doctor-led; non-chain local dental practice fit for website, automation and trust-hygiene outreach.",No phone captured because not visibly exposed in scraped Practo source; owner status should be reconfirmed before outreach.,Practo profile/enquiry first; enrich phone or website before calling
