row_id,vertical,business_name,owner_name,city,metro,website,google_rating,google_reviews_count,whatsapp_number,instagram_handle,source_url,source_platform,status,notes
BENGALURU-015,dental,Apollo Dental - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Dental%20-%20Koramangala%20Bengaluru,Google Maps,researched,Healthcare chain; competitive locality; digital trust signals matter.
BENGALURU-016,dental,Apollo Dental - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Dental%20-%20Whitefield%20Bengaluru,Google Maps,researched,Healthcare chain; IT corridor; appointment funnel potential.
BENGALURU-017,dental,Sabka Dentist - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Sabka%20Dentist%20-%20Koramangala%20Bengaluru,Google Maps,researched,Dental chain; price/value positioning; review and WhatsApp funnel opportunity.
BENGALURU-018,dental,Sabka Dentist - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Sabka%20Dentist%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Dental chain; premium locality; lead capture potential.
BENGALURU-019,dental,Sabka Dentist - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Sabka%20Dentist%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Dental chain; tech/residential catchment.
BENGALURU-020,dental,Sabka Dentist - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Sabka%20Dentist%20-%20Whitefield%20Bengaluru,Google Maps,researched,Dental chain; IT corridor; automation fit.
BENGALURU-021,dental,Axiss Dental - Koramangala,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Axiss%20Dental%20-%20Koramangala%20Bengaluru,Google Maps,researched,Specialty dental brand; local competitive market.
BENGALURU-022,dental,Axiss Dental - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Axiss%20Dental%20-%20Whitefield%20Bengaluru,Google Maps,researched,Specialty dental brand; IT corridor patients.
BENGALURU-023,dental,Denty’s Dental Care - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Denty%E2%80%99s%20Dental%20Care%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Multi-speciality dental clinic; high-intent locality.
BENGALURU-024,dental,Denty’s Dental Care - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Denty%E2%80%99s%20Dental%20Care%20-%20Whitefield%20Bengaluru,Google Maps,researched,Dental care brand; IT corridor locality.
BENGALURU-025,dental,32 Smiles Multispeciality Dental Clinic - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=32%20Smiles%20Multispeciality%20Dental%20Clinic%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Multispeciality positioning; premium locality; good candidate for trust/compliance site audit.
BENGALURU-026,dental,32 Smiles Multispeciality Dental Clinic - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=32%20Smiles%20Multispeciality%20Dental%20Clinic%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Multispeciality positioning; young family/tech locality.
BENGALURU-027,dental,Smile Elements Dental Clinic,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Smile%20Elements%20Dental%20Clinic%20Bengaluru,Google Maps,researched,Independent clinic; cosmetic/specialty dental positioning likely.
BENGALURU-028,dental,Dental Lavelle,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dental%20Lavelle%20Bengaluru,Google Maps,researched,Premium independent clinic; central Bengaluru; high-value treatments.
BENGALURU-029,dental,Dentalign - Richmond Town,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dentalign%20-%20Richmond%20Town%20Bengaluru,Google Maps,researched,Orthodontic/cosmetic dental positioning; central locality.
BENGALURU-030,dental,The Dental Solutions - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Dental%20Solutions%20-%20Bangalore%20Bengaluru,Google Maps,researched,Independent dental practice; local SEO and website conversion opportunity.
BENGALURU-031,dental,Tooth Affair Dental Clinic,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Tooth%20Affair%20Dental%20Clinic%20Bengaluru,Google Maps,researched,Independent clinic; brandable local practice.
BENGALURU-032,dental,LV Dental Square,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=LV%20Dental%20Square%20Bengaluru,Google Maps,researched,Independent clinic; likely conversion funnel opportunity.
BENGALURU-033,dental,Dental Profiles - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dental%20Profiles%20-%20Bangalore%20Bengaluru,Google Maps,researched,Established clinic brand; website/review audit candidate.
BENGALURU-034,dental,Smile Architect Dental Clinic,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Smile%20Architect%20Dental%20Clinic%20Bengaluru,Google Maps,researched,Independent clinic; cosmetic/smile-design branding signal.
BENGALURU-035,dental,Confident Dental Care - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Confident%20Dental%20Care%20-%20Bangalore%20Bengaluru,Google Maps,researched,Dental clinic brand; trust/reviews important.
BENGALURU-036,dental,My Dentist - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=My%20Dentist%20-%20Bangalore%20Bengaluru,Google Maps,researched,Local dental brand; search visibility opportunity.
BENGALURU-037,dental,Cosmodent India - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Cosmodent%20India%20-%20Bangalore%20Bengaluru,Google Maps,researched,Cosmetic dental positioning; premium treatment lead potential.
BENGALURU-038,dental,Specialists Dental Clinic - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Specialists%20Dental%20Clinic%20-%20Bangalore%20Bengaluru,Google Maps,researched,Specialist positioning; appointment and trust signals important.
BENGALURU-039,dental,Ivory Smiles Dental Clinic - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Ivory%20Smiles%20Dental%20Clinic%20-%20Bangalore%20Bengaluru,Google Maps,researched,Independent dental clinic; brand/review funnel candidate.
BENGALURU-040,dental,Dr. Sunny Medical Centre Dental Department - Bangalore,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dr.%20Sunny%20Medical%20Centre%20Dental%20Department%20-%20Bangalore%20Bengaluru,Google Maps,researched,Clinic/hospital-associated dental care; cross-specialty trust signal.
BENGALURU-041,diagnostic_lab,Anand Diagnostic Laboratory - Shivajinagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Anand%20Diagnostic%20Laboratory%20-%20Shivajinagar%20Bengaluru,Google Maps,researched,Well-known Bengaluru diagnostic brand; high trust and home collection opportunity.
BENGALURU-042,diagnostic_lab,Anand Diagnostic Laboratory - Jayanagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Anand%20Diagnostic%20Laboratory%20-%20Jayanagar%20Bengaluru,Google Maps,researched,Established diagnostics brand; dense residential market.
BENGALURU-043,diagnostic_lab,Anand Diagnostic Laboratory - Malleswaram,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Anand%20Diagnostic%20Laboratory%20-%20Malleswaram%20Bengaluru,Google Maps,researched,Established diagnostics brand; strong local recall.
BENGALURU-044,diagnostic_lab,Dr Lal PathLabs - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Lal%20PathLabs%20-%20Indiranagar%20Bengaluru,Google Maps,researched,National lab chain; local franchise/collection centre; automation and SEO fit.
BENGALURU-045,diagnostic_lab,Dr Lal PathLabs - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Lal%20PathLabs%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,National lab chain; tech/residential catchment.
BENGALURU-046,diagnostic_lab,Dr Lal PathLabs - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Dr%20Lal%20PathLabs%20-%20Whitefield%20Bengaluru,Google Maps,researched,National lab chain; IT corridor home sample collection demand.
BENGALURU-047,diagnostic_lab,Apollo Diagnostics - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Diagnostics%20-%20Indiranagar%20Bengaluru,Google Maps,researched,Healthcare chain; trust-led digital funnel opportunity.
BENGALURU-048,diagnostic_lab,Apollo Diagnostics - HSR Layout,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Diagnostics%20-%20HSR%20Layout%20Bengaluru,Google Maps,researched,Healthcare chain; high-income residential catchment.
BENGALURU-049,diagnostic_lab,Apollo Diagnostics - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Apollo%20Diagnostics%20-%20Whitefield%20Bengaluru,Google Maps,researched,Healthcare chain; IT corridor; home collection opportunity.
BENGALURU-050,diagnostic_lab,Metropolis Healthcare - Indiranagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Metropolis%20Healthcare%20-%20Indiranagar%20Bengaluru,Google Maps,researched,National diagnostics chain; online booking/review funnel candidate.
BENGALURU-051,diagnostic_lab,Metropolis Healthcare - Jayanagar,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Metropolis%20Healthcare%20-%20Jayanagar%20Bengaluru,Google Maps,researched,National diagnostics chain; residential healthcare demand.
BENGALURU-052,diagnostic_lab,Metropolis Healthcare - Whitefield,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Metropolis%20Healthcare%20-%20Whitefield%20Bengaluru,Google Maps,researched,National diagnostics chain; IT corridor local search opportunity.
BENGALURU-053,diagnostic_lab,Neuberg Diagnostics - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Neuberg%20Diagnostics%20-%20Bengaluru%20Bengaluru,Google Maps,researched,National diagnostics brand; broad test menu; digital conversion potential.
BENGALURU-054,diagnostic_lab,Aster Labs - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Aster%20Labs%20-%20Bengaluru%20Bengaluru,Google Maps,researched,Hospital-backed diagnostics brand; trust and compliance positioning.
BENGALURU-055,diagnostic_lab,Orange Health Labs - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Orange%20Health%20Labs%20-%20Bengaluru%20Bengaluru,Google Maps,researched,Digital-first diagnostics/home collection brand; automation-ready signal.
BENGALURU-056,diagnostic_lab,Healthians - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Healthians%20-%20Bengaluru%20Bengaluru,Google Maps,researched,Digital diagnostics/home sample collection brand; strong online funnel.
BENGALURU-057,diagnostic_lab,Thyrocare - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Thyrocare%20-%20Bengaluru%20Bengaluru,Google Maps,researched,National diagnostics/network brand; price/package-led lead funnel.
BENGALURU-058,diagnostic_lab,SRL Diagnostics - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=SRL%20Diagnostics%20-%20Bengaluru%20Bengaluru,Google Maps,researched,National diagnostics brand; local collection centre opportunity.
BENGALURU-059,diagnostic_lab,Prima Diagnostics - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Prima%20Diagnostics%20-%20Bengaluru%20Bengaluru,Google Maps,researched,Local diagnostics brand; website/booking funnel audit candidate.
BENGALURU-060,diagnostic_lab,Medall Diagnostics - Bengaluru,,Bengaluru,Bengaluru,,,,,,https://www.google.com/maps/search/?api=1&query=Medall%20Diagnostics%20-%20Bengaluru%20Bengaluru,Google Maps,researched,Diagnostics chain; local presence and online booking potential.
